Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Accepted Droplets,Positives,Negatives
F05,8,50.2,REP2,,BDNF,306.3542786,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19236,4410,14826
E05,16,50.2,REP2,,BDNF,514.3673706,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,21185,7503,13682
H06,2,50.2,REP3,,BDNF,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,9811,474,9337
G06,4,50.2,REP3,,BDNF,125.6085739,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20629,2089,18540
F06,8,50.2,REP3,,BDNF,273.1700134,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20144,4174,15970
E06,16,50.2,REP3,,BDNF,483.3141479,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19297,6501,12796
H01,2,100.2,REP1,,BDNF,118.672821,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19166,1839,17327
G01,4,100.2,REP1,,BDNF,269.9970093,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19696,4039,15657
F01,8,100.2,REP1,,BDNF,579.6843262,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19954,7763,12191
E01,16,100.2,REP1,,BDNF,1228.412598,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19617,12712,6905
H02,2,100.2,REP2,,BDNF,115.4709244,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20345,1902,18443
G02,4,100.2,REP2,,BDNF,307.9039307,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19655,4526,15129
F02,8,100.2,REP2,,BDNF,676.6117554,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19565,8557,11008
E02,16,100.2,REP2,,BDNF,1200.607056,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19858,12701,7157
H03,2,100.2,REP3,,BDNF,124.5450668,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20557,2065,18492
G03,4,100.2,REP3,,BDNF,285.2644043,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19404,4178,15226
F03,8,100.2,REP3,,BDNF,722.7332153,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19704,9044,10660
E03,16,100.2,REP3,,BDNF,1366.361816,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19946,13702,6244
D07,2,150,REP1,,BDNF,245.1828461,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20593,3874,16719
C07,4,150,REP1,,BDNF,409.4639587,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20964,6162,14802
B07,8,150,REP1,,BDNF,846.2967529,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19718,10114,9604
A07,16,150,REP1,,BDNF,1427.182861,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19763,13888,5875
D08,2,150,REP2,,BDNF,248.8900909,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20443,3898,16545
C08,4,150,REP2,,BDNF,372.6425781,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20480,5560,14920
B08,8,150,REP2,,BDNF,788.6940308,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19767,9656,10111
A08,16,150,REP2,,BDNF,1428.711548,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20075,14115,5960
D09,2,150,REP3,,BDNF,223.2905884,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,21027,3635,17392
C09,4,150,REP3,,BDNF,388.4827271,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20791,5847,14944
B09,8,150,REP3,,BDNF,757.6958618,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20822,9887,10935
A09,16,150,REP3,,BDNF,1401.099487,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,18948,13189,5759
H07,2,150.2,REP1,,BDNF,251.1986389,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,10340,1988,8352
G07,4,150.2,REP1,,BDNF,409.4077759,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20422,6002,14420
F07,8,150.2,REP1,,BDNF,874.9884644,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19986,10486,9500
E07,16,150.2,REP1,,BDNF,1442.65625,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20086,14193,5893
H08,2,150.2,REP2,,BDNF,255.1781769,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,10221,1993,8228
G08,4,150.2,REP2,,BDNF,387.7816467,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20926,5876,15050
F08,8,150.2,REP2,,BDNF,770.0169678,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20285,9743,10542
E08,16,150.2,REP2,,BDNF,1412.25647,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20218,14131,6087
H09,2,150.2,REP3,,BDNF,229.3640289,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,15209,2694,12515
G09,4,150.2,REP3,,BDNF,369.9060059,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20783,5607,15176
F09,8,150.2,REP3,,BDNF,779.7370605,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20333,9853,10480
E09,16,150.2,REP3,,BDNF,1442.346191,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20033,14154,5879
D10,2,200,REP1,,BDNF,367.4277954,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20194,5417,14777
C10,4,200,REP1,,BDNF,496.4408569,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,21589,7432,14157
B10,8,200,REP1,,BDNF,1029.013184,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20796,12124,8672
A10,16,200,REP1,,BDNF,1725.638428,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19756,15199,4557
D11,2,200,REP2,,BDNF,270.5541992,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20906,4295,16611
C11,4,200,REP2,,BDNF,489.1371765,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20393,6937,13456
B11,8,200,REP2,,BDNF,928.2289429,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,21226,11583,9643
A11,16,200,REP2,,BDNF,1924.338501,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19762,15912,3850
D12,2,200,REP3,,BDNF,273.9222107,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19806,4114,15692
C12,4,200,REP3,,BDNF,429.7421265,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20706,6336,14370
B12,8,200,REP3,,BDNF,902.715271,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20370,10913,9457
A12,16,200,REP3,,BDNF,1716.783447,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19823,15216,4607
D01,2,RS,REP1,,BDNF,133.247879,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19415,2079,17336
C01,4,RS,REP1,,BDNF,222.2429047,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19990,3441,16549
B01,8,RS,REP1,,BDNF,533.5421753,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19303,7038,12265
A01,16,RS,REP1,,BDNF,1162.303711,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,17409,10927,6482
D02,2,RS,REP2,,BDNF,128.9781799,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19762,2052,17710
C02,4,RS,REP2,,BDNF,250.839859,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20618,3959,16659
B02,8,RS,REP2,,BDNF,614.6605835,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19219,7821,11398
A02,16,RS,REP2,,BDNF,1223.330322,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,17442,11276,6166
D03,2,RS,REP3,,BDNF,139.3134003,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20927,2337,18590
C03,4,RS,REP3,,BDNF,285.4790344,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20932,4510,16422
B03,8,RS,REP3,,BDNF,721.9449463,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20474,9390,11084
A03,16,RS,REP3,,BDNF,1367.024902,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19318,13274,6044
E10,NTC,,,,BDNF,0.670353651,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,21066,12,21054
E11,NTC,,,,BDNF,0.281836599,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,20874,5,20869
E12,NTC,,,,BDNF,0.38757062,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,21252,7,21245
F10,PC,,,,BDNF,1510.759277,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,20958,15155,5803
F11,PC,,,,BDNF,1492.258545,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,20631,14828,5803
F12,PC,,,,BDNF,1402.989014,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,19743,13752,5991
